gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameDate
22500633,2026-01-22 17:00:00,Los Angeles,Lakers,1610612747,LA,Clippers,1610612746,0,0.0,104,112,24.0,8.0,14.0,88.0,40.0,0.455,33.0,11.0,0.333,18.0,13.0,0.722,28.0,6.0,34.0,17.0,10.0,-8.0,240.0,29.0,18.0,25.0,32.0,28.0,4.0,12.0,7.0,13.0,17.0,52.0,9.0,2.0,0.0,26.0,17.0,,2026-01-22
22500634,2026-01-22 17:00:00,Miami,Heat,1610612748,Portland,Trail Blazers,1610612757,0,0.0,110,127,27.0,4.0,12.0,94.0,43.0,0.457,45.0,9.0,0.2,19.0,15.0,0.789,26.0,14.0,40.0,10.0,15.0,-17.0,240.0,31.0,32.0,29.0,18.0,37.0,5.0,12.0,4.0,24.0,30.0,60.0,22.0,4.0,0.0,23.0,22.0,,2026-01-22
22500634,2026-01-22 17:00:00,Portland,Trail Blazers,1610612757,Miami,Heat,1610612748,1,1.0,127,110,26.0,5.0,10.0,96.0,48.0,0.5,50.0,20.0,0.4,13.0,11.0,0.846,36.0,14.0,50.0,17.0,18.0,17.0,240.0,38.0,26.0,39.0,24.0,42.0,21.0,10.0,4.0,12.0,20.0,52.0,18.0,4.0,1.0,23.0,22.0,,2026-01-22
22500632,2026-01-22 16:00:00,San Antonio,Spurs,1610612759,Utah,Jazz,1610612762,0,1.0,126,109,30.0,11.0,8.0,87.0,44.0,0.506,43.0,18.0,0.419,24.0,20.0,0.833,34.0,7.0,41.0,13.0,10.0,17.0,240.0,31.0,34.0,32.0,29.0,34.0,17.0,15.0,3.0,32.0,24.0,46.0,8.0,6.0,1.0,31.0,14.0,,2026-01-22
22500632,2026-01-22 16:00:00,Utah,Jazz,1610612762,San Antonio,Spurs,1610612759,1,0.0,109,126,31.0,3.0,5.0,90.0,43.0,0.478,30.0,12.0,0.4,13.0,11.0,0.846,33.0,11.0,44.0,16.0,16.0,-17.0,240.0,31.0,22.0,39.0,17.0,23.0,3.0,9.0,3.0,10.0,12.0,54.0,10.0,6.0,1.0,15.0,30.0,,2026-01-22
22500631,2026-01-22 15:00:00,Chicago,Bulls,1610612741,Minnesota,Timberwolves,1610612750,0,1.0,120,115,28.0,1.0,7.0,86.0,38.0,0.442,39.0,17.0,0.436,33.0,27.0,0.818,38.0,5.0,43.0,18.0,11.0,5.0,240.0,26.0,34.0,33.0,27.0,49.0,7.0,12.0,11.0,17.0,11.0,40.0,11.0,5.0,0.0,22.0,22.0,,2026-01-22
22500631,2026-01-22 15:00:00,Minnesota,Timberwolves,1610612750,Chicago,Bulls,1610612741,1,0.0,115,120,29.0,9.0,6.0,93.0,43.0,0.462,41.0,15.0,0.366,15.0,14.0,0.933,36.0,9.0,45.0,27.0,14.0,-5.0,240.0,32.0,29.0,29.0,25.0,28.0,14.0,13.0,11.0,12.0,15.0,44.0,13.0,5.0,0.0,27.0,18.0,,2026-01-22
22500630,2026-01-22 14:30:00,Dallas,Mavericks,1610612742,Golden State,Warriors,1610612744,1,1.0,123,115,25.0,6.0,6.0,86.0,43.0,0.5,35.0,13.0,0.371,30.0,24.0,0.8,43.0,11.0,54.0,17.0,21.0,8.0,240.0,24.0,31.0,29.0,39.0,41.0,12.0,12.0,10.0,27.0,18.0,56.0,24.0,10.0,1.0,19.0,26.0,,2026-01-22
22500630,2026-01-22 14:30:00,Golden State,Warriors,1610612744,Dallas,Mavericks,1610612742,0,0.0,115,123,29.0,7.0,15.0,96.0,43.0,0.448,46.0,15.0,0.326,18.0,14.0,0.778,31.0,4.0,35.0,24.0,10.0,-8.0,240.0,27.0,23.0,39.0,26.0,47.0,7.0,8.0,10.0,17.0,24.0,50.0,5.0,10.0,1.0,25.0,21.0,,2026-01-22
22500629,2026-01-22 14:00:00,Denver,Nuggets,1610612743,Washington,Wizards,1610612764,0,1.0,107,97,22.0,6.0,9.0,83.0,37.0,0.446,26.0,9.0,0.346,26.0,24.0,0.923,35.0,11.0,46.0,14.0,11.0,10.0,240.0,27.0,21.0,33.0,26.0,14.0,12.0,9.0,2.0,8.0,11.0,46.0,12.0,2.0,1.0,30.0,15.0,,2026-01-22
